filename,gender,bodyPartFolder,matchedId,matchedName,tier,score,uploaded,uploadError
"45 Degree Bycicle Twisting Crunch (1).mp4","male","abs","bicycle_crunch","Bicycle Crunch","gemini","","true",""
"45 Degree Bycicle Twisting Crunch.mp4","male","abs","9Ap7miY","decline crunch","gemini","","true",""
"45 Degree Side Bend.mp4","male","abs","Hy9D21L","45° side bend","gemini","","true",""
"Air Twisting Crunch.mp4","male","abs","1ZFqTDN","air bike","gemini","","true",""
"Band Decline Sit-ups.mp4","male","abs","zFzbBfL","band push sit-up","gemini","","true",""
"Band Side Bend.mp4","male","abs","","","unmatched","","",""
"Band Standing Crunch.mp4","male","abs","Kzg30R7","band standing crunch","exact","1.00","true",""
"Band Standing Lift.mp4","male","abs","qFpAkpP","cable standing lift","gemini","","true",""
"Band Twist (Up-down).mp4","male","abs","fhZQPlV","cable twist (up-down)","gemini","","true",""
"Band Twist.mp4","male","abs","aVs3BR3","cable twist","gemini","","true",""
"Bench Leg Raise.mp4","male","abs","WhuFnR7","lying leg raise flat bench","gemini","","true",""
"Bent Knee Lying Twist.mp4","male","abs","6sYyrRX","bent knee lying twist (male)","exact","1.00","true",""
"Cable Kneeling Crunch.mp4","male","abs","WW95auq","cable kneeling crunch","exact","1.00","true",""
"Cable Standing Crunch.mp4","male","abs","XU3ePuv","cable standing crunch (with rope attachment)","gemini","","true",""
"Cable Standing Lift.mp4","male","abs","qFpAkpP","cable standing lift","exact","1.00","true",""
"Cable Twist (up-down).mp4","male","abs","fhZQPlV","cable twist (up-down)","gemini","","true",""
"Crunch (on bench).mp4","male","abs","9Ap7miY","decline crunch","gemini","","true",""
"Dumbbell Side Bend.mp4","male","abs","IpONWYv","dumbbell side bend","exact","1.00","true",""
"Hanging Leg Hip Raise.mp4","male","abs","VEcJRo2","hanging leg hip raise","exact","1.00","true",""
"Hanging Straight Leg Raise.mp4","male","abs","4Ml7QFO","hanging straight leg raise","exact","1.00","true",""
"Incline Leg Hip Raise.mp4","male","abs","eVxAzgz","incline leg hip raise (leg straight)","exact","1.00","true",""
"Landmine 180.mp4","male","abs","QYysSLV","landmine 180","exact","1.00","true",""
"Lever Seated Crunch (1).mp4","male","abs","Wgaz7pm","lever seated crunch","gemini","","false","Command failed: C:\Users\Harsh\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe\ffmpeg-8.1.2-full_build\bin\ffmpeg.exe -y -ss 00:00:01.0 -i D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\Wgaz7pm-male.mp4 -frames:v 1 -q:v 4 D:"
"Lever Seated Crunch.mp4","male","abs","Wgaz7pm","lever seated crunch","gemini","","false","Command failed: C:\Users\Harsh\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe\ffmpeg-8.1.2-full_build\bin\ffmpeg.exe -y -ss 00:00:01.0 -i D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\Wgaz7pm-male.mp4 -frames:v 1 -q:v 4 D:"
"Lever Seated Leg Raise Crunch.mp4","male","abs","PQ2AtC3","lever seated leg raise crunch","exact","1.00","true",""
"Lying Floor Leg Raise.mp4","male","abs","9IxJdtC","lying leg-hip raise","gemini","","true",""
"Lying Straight Leg Raise.mp4","male","abs","leg_raise","Leg Raise","gemini","","true",""
"Otis-ups.mp4","male","abs","UVL20oz","otis up","gemini","","true",""
"Side Bridge - Side Plank.mp4","male","abs","RKjH6Lt","side bridge v. 2","gemini","","true",""
"Sit-up On Exercise Ball.mp4","male","abs","","","unmatched","","",""
"Sit-ups.mp4","male","abs","Bn6TXyO","sit-up v. 2","gemini","","true",""
"Spell Caster.mp4","male","abs","p9cCe2r","spell caster","exact","1.00","true",""
"Stretching - Chin-to-chest Stretch.mp4","male","abs","","","unmatched","","",""
"Stretching - Iron Cross Stretch.mp4","male","abs","pZwUsKB","iron cross stretch","gemini","","true",""
"Stretching - Seated Twist (straight arm).mp4","male","abs","2jl9K55","spine twist","gemini","","true",""
"Stretching - Spinal Stretch On Exercise Ball.mp4","male","abs","","","unmatched","","",""
"Stretching - Standing Side Bend (bent arm).mp4","male","abs","","","unmatched","","",""
"Twisting Crunch.mp4","male","abs","crunch","Crunch","gemini","","true",""
"V-up.mp4","male","abs","","","unmatched","","",""
"Vertical Leg Raise (on parallel bars).mp4","male","abs","ZNgOYQU","vertical leg raise (on parallel bars)","exact","1.00","true",""
"Weighted Leg Extension Crunch.mp4","male","abs","","","unmatched","","",""
"45 Degree Hyperextension.mp4","male","back","zhMwOwE","hyperextension","gemini","","true",""
"Band Assisted Pull-up.mp4","male","back","r1XNRYB","band assisted pull-up","gemini","","true",""
"Band Bent-over Row.mp4","male","back","","","unmatched","","",""
"Band Kneeling One Arm Pulldown.mp4","male","back","pmnrOp0","band kneeling one arm pulldown","exact","1.00","true",""
"Band One Arm Twisting Seated Row.mp4","male","back","DKBwJrL","band one arm twisting seated row","exact","1.00","true",""
"Band One Leg Kickback Bent Position.mp4","male","back","","","unmatched","","",""
"Band Pull Through.mp4","male","back","VtTbiP3","band pull through","exact","1.00","true",""
"Band Seated Row.mp4","male","back","Nu7jqFE","resistance band seated straight back row","gemini","","false","Command failed: C:\Users\Harsh\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe\ffmpeg-8.1.2-full_build\bin\ffmpeg.exe -y -ss 00:00:01.0 -i D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\Nu7jqFE-male.mp4 -frames:v 1 -q:v 4 D:"
"Band Straight Back Seated Row.mp4","male","back","Nu7jqFE","resistance band seated straight back row","gemini","","true",""
"Barbell Bent-over Row Overgrip.mp4","male","back","eZyBC3j","barbell bent over row","gemini","","true",""
"Barbell Straight Leg Deadlift.mp4","male","back","hrVQWvE","barbell straight leg deadlift","exact","1.00","true",""
"Barbell Underhand Bent-over Row.mp4","male","back","SzX3uzM","barbell reverse grip bent over row","gemini","","true",""
"Bench Pull-ups.mp4","male","back","mExgrF9","bench pull-ups","gemini","","true",""
"Cable Bar Lateral Pulldown (reverse-grip).mp4","male","back","eYnzaCm","cable bar lateral pulldown","exact","1.00","true",""
"Cable Bar Lateral Pulldown (wide shoulder grip).mp4","male","back","eYnzaCm","cable bar lateral pulldown","exact","1.00","true",""
"Cable Close Grip Front Lat Pulldown.mp4","male","back","lat_pulldown","Lat Pulldown","gemini","","true",""
"Cable One Arm Lateral Pulldown.mp4","male","back","U5INZY6","cable one arm pulldown","gemini","","true",""
"Cable One Arm Twisting Seated Row.mp4","male","back","vpp9Ku2","cable seated one arm alternate row","gemini","","true",""
"Cable Pulldown.mp4","male","back","SpsOSXk","cable rear pulldown","gemini","","true",""
"Cable Seated High Row (V-bar).mp4","male","back","pwt0pnM","cable seated high row (v-bar)","exact","1.00","true",""
"Cable Seated Row (normal grip).mp4","male","back","fUBheHs","cable seated row","exact","1.00","true",""
"Cable Seated Row (parallel grip).mp4","male","back","fUBheHs","cable seated row","exact","1.00","true",""
"Cable Seated Row (wide-grip).mp4","male","back","fUBheHs","cable seated row","exact","1.00","false","Command failed: npx wrangler r2 object put fitai-media/exercise-video/fUBheHs-male.mp4 --file D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\fUBheHs-male.mp4 --remote [31m✘ [41;31m[[41;97mERROR[41;31m][0m [1mThe file ""D:\FitAi\FitAI\.claude\worktrees\agent-a39"
"Cable Straight Arm Pulldown.mp4","male","back","x69MAlq","cable straight arm pulldown","gemini","","true",""
"Cable Straight Back Seated High Row (reverse-grip).mp4","male","back","PNtsX17","cable reverse-grip straight back seated high row","gemini","","true",""
"Cable Straight Back Seated Row (V-grip).mp4","male","back","Tq6gbK6","cable straight back seated row","exact","1.00","true",""
"Cambered Bar Lying Row.mp4","male","back","R5swFnc","cambered bar lying row","exact","1.00","true",""
"Chin-ups  Pull-Ups.mp4","male","back","G70mEAJ","chin-ups (narrow parallel grip)","gemini","","true",""
"Chin-ups (narrow parallel grip).mp4","male","back","G70mEAJ","chin-ups (narrow parallel grip)","exact","1.00","true",""
"Close Grip Chin-up.mp4","male","back","VnfUNW7","close grip chin-up","gemini","","true",""
"Commando Pull-up.mp4","male","back","0V2YQjW","pull up (neutral grip)","gemini","","true",""
"Dumbbell Bent-over Row.mp4","male","back","BJ0Hz5L","dumbbell bent over row","exact","1.00","true",""
"Dumbbell Deadlift.mp4","male","back","nUwVh7b","dumbbell deadlift","exact","1.00","true",""
"Dumbbell Hammer Grip Incline Bench Row.mp4","male","back","7vG5o25","dumbbell incline row","gemini","","true",""
"Dumbbell Incline Row.mp4","male","back","7vG5o25","dumbbell incline row","exact","1.00","true",""
"Dumbbell Lying Rear Delt Row.mp4","male","back","XUUD0Fs","dumbbell lying rear delt row","exact","1.00","true",""
"Dumbbell Palm Rotational Bent Over Row.mp4","male","back","wt6rwjk","dumbbell palm rotational bent over row","exact","1.00","true",""
"Dumbbell Reverse Grip Row.mp4","male","back","Nh3mvOO","dumbbell reverse grip row (female)","exact","1.00","true",""
"Dumbbell Stiff Leg Deadlift.mp4","male","back","5eLRITT","dumbbell stiff leg deadlift","exact","1.00","true",""
"Hammer Grip Pull-up.mp4","male","back","0V2YQjW","pull up (neutral grip)","gemini","","true",""
"Inverted Row Between Chairs.mp4","male","back","bZGHsAZ","inverted row","gemini","","true",""
"Inverted Row With Straps.mp4","male","back","jdiExfW","inverted row with straps","exact","1.00","true",""
"Kettlebell Deadlift.mp4","male","back","deadlift","Deadlift","gemini","","true",""
"Lever Back Extension.mp4","male","back","rUXfn3R","lever back extension","exact","1.00","true",""
"Lever High Row.mp4","male","back","nZZZy9m","lever high row","exact","1.00","true",""
"Lever Reverse Hyperextension.mp4","male","back","Krmb3cB","lever reverse hyperextension","exact","1.00","true",""
"Lever Reverse T-Bar Row.mp4","male","back","BgljGjd","lever reverse t-bar row","gemini","","true",""
"Lever T-bar Row.mp4","male","back","aaXr7ld","lever t bar row","exact","1.00","true",""
"Pull-up (shoulder grip).mp4","male","back","lBDjFxJ","pull-up","gemini","","true",""
"Pull-up (wide back grip).mp4","male","back","lBDjFxJ","pull-up","gemini","","true",""
"Pull-up (wide front grip).mp4","male","back","lBDjFxJ","pull-up","gemini","","false","Command failed: C:\Users\Harsh\AppData\Local\Microsoft\WinGet\Packages\Gyan.FFmpeg_Microsoft.Winget.Source_8wekyb3d8bbwe\ffmpeg-8.1.2-full_build\bin\ffmpeg.exe -y -ss 00:00:01.0 -i D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\lBDjFxJ-male.mp4 -frames:v 1 -q:v 4 D:"
"Reverse Grip Machine Lat Pulldown.mp4","male","back","ecpY0rH","reverse grip machine lat pulldown","exact","1.00","true",""
"Reverse Grip Pull-up.mp4","male","back","YAk5dIw","reverse grip pull-up","gemini","","true",""
"Ring High Row.mp4","male","back","4OaumBr","suspended row","gemini","","true",""
"Single Dumbbell Stiff Leg Deadlift.mp4","male","back","5eLRITT","dumbbell stiff leg deadlift","gemini","","true",""
"Smith Deadlift - Deadlift (1).mp4","male","back","UfePqpx","smith deadlift","near_exact","1.00","true",""
"Smith Deadlift - Deadlift.mp4","male","back","UfePqpx","smith deadlift","near_exact","1.00","true",""
"Stretching - Dynamic Back Stretch.mp4","male","back","chfnQnM","back pec stretch","gemini","","true",""
"Stretching - Elbows Back Stretch.mp4","male","back","chfnQnM","back pec stretch","gemini","","true",""
"Stretching - Kneeling Lat Stretch.mp4","male","back","f38OEuO","kneeling lat stretch","gemini","","true",""
"Stretching - Middle Back Stretch (1).mp4","male","back","GSDioYu","upper back stretch","gemini","","true",""
"Stretching - Middle Back Stretch.mp4","male","back","GSDioYu","upper back stretch","gemini","","true",""
"Stretching - Seated Lower Back Stretch.mp4","male","back","QFmz6ch","seated lower back stretch","gemini","","true",""
"Stretching - Seated Wide Angle Pose Sequence.mp4","male","back","HIgYKAB","seated wide angle pose sequence","gemini","","true",""
"Stretching - Sitting Bent Over Back Stretch.mp4","male","back","QFmz6ch","seated lower back stretch","gemini","","false","Command failed: npx wrangler r2 object put fitai-media/exercise-video/QFmz6ch-male.mp4 --file D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\QFmz6ch-male.mp4 --remote [31m✘ [41;31m[[41;97mERROR[41;31m][0m [1mThe file ""D:\FitAi\FitAI\.claude\worktrees\agent-a39"
"Stretching - Slopes Towards Stretch.mp4","male","back","1jXLYEw","standing lateral stretch","gemini","","true",""
"Stretching - Spine Stretch Forward.mp4","male","back","JbC2iaV","spine stretch","gemini","","true",""
"Stretching - Spine Stretch.mp4","male","back","JbC2iaV","spine stretch","gemini","","false","Command failed: npx wrangler r2 object put fitai-media/exercise-poster/JbC2iaV-male.jpg --file D:\FitAi\FitAI\.claude\worktrees\agent-a3928ac4b1237e5ec\scripts\.tmp_transcoded\JbC2iaV-male.jpg --remote [31m✘ [41;31m[[41;97mERROR[41;31m][0m [1mThe file ""D:\FitAi\FitAI\.claude\worktrees\agent-a3"
