src/components/advanced/Camera.tsx(66,3): error TS2339: Property 'visible' does not exist on type 'CameraProps'.
src/components/advanced/Camera.tsx(710,49): error TS2339: Property 'visible' does not exist on type 'CameraProps'.
src/components/advanced/Camera.tsx(722,26): error TS2322: Type '{ mode: "progress" | "barcode" | "food"; onCapture: (uri: string) => void; onBarcodeScanned?: ((barcode: string, type: string) => void) | undefined; onClose: () => void; style?: any; visible: any; }' is not assignable to type 'IntrinsicAttributes & CameraProps'.
src/components/animations/ProgressAnimation.tsx(97,15): error TS2322: Type 'AnimatedInterpolation<string | number>' is not assignable to type 'ReactNode'.
src/components/charts/index.ts(5,30): error TS2307: Cannot find module './CalorieChart' or its corresponding type declarations.
src/components/charts/index.ts(6,29): error TS2307: Cannot find module './WeightChart' or its corresponding type declarations.
src/components/common/index.ts(4,24): error TS2307: Cannot find module './Header' or its corresponding type declarations.
src/components/common/index.ts(5,24): error TS2307: Cannot find module './TabBar' or its corresponding type declarations.
src/components/common/index.ts(6,28): error TS2307: Cannot find module './StatusCard' or its corresponding type declarations.
src/components/diet/FoodRecognitionFeedback.tsx(177,50): error TS2322: Type 'number' is not assignable to type '1 | 2 | 3 | 4 | 5 | undefined'.
src/components/diet/index.ts(5,29): error TS2307: Cannot find module './FoodScanner' or its corresponding type declarations.
src/components/diet/index.ts(6,34): error TS2307: Cannot find module './NutritionSummary' or its corresponding type declarations.
src/components/diet/MealCard.tsx(68,11): error TS2322: Type 'any[]' is not assignable to type 'ViewStyle'.
src/components/diet/PortionAdjustment.tsx(11,3): error TS2305: Module '"react-native"' has no exported member 'PanGestureHandler'.
src/components/diet/PortionAdjustment.tsx(171,28): error TS2345: Argument of type '(RecognizedFood | { portionSize: { estimatedGrams: number; confidence: number; servingType: "small" | "medium" | "large" | "traditional"; }; nutrition: { calories: number; ... 5 more ...; sodium: number | undefined; }; ... 11 more ...; enhancementSource: "hybrid" | ... 2 more ... | "free_api"; })[]' is not assignable to parameter of type 'RecognizedFood[]'.
src/components/diet/ProductDetailsModal.tsx(178,48): error TS2322: Type '{ children: Element; visible: boolean; onClose: () => void; title: string; }' is not assignable to type 'IntrinsicAttributes & ModalProps'.
src/components/fitness/ExerciseCard.tsx(83,11): error TS2322: Type 'any[]' is not assignable to type 'ViewStyle'.
src/components/fitness/ExerciseGifPlayer.tsx(263,13): error TS2322: Type 'any[]' is not assignable to type 'ViewStyle'.
src/components/fitness/WeeklyCalendar.tsx(259,31): error TS2339: Property 'accent' does not exist on type '{ primary: string; primaryDark: string; primaryLight: string; secondary: string; secondaryDark: string; secondaryLight: string; background: string; backgroundSecondary: string; backgroundTertiary: string; ... 15 more ...; borderLight: string; }'.
src/components/fitness/WeeklyCalendar.tsx(280,25): error TS2339: Property 'accent' does not exist on type '{ primary: string; primaryDark: string; primaryLight: string; secondary: string; secondaryDark: string; secondaryLight: string; background: string; backgroundSecondary: string; backgroundTertiary: string; ... 15 more ...; borderLight: string; }'.
src/components/fitness/WeeklyCalendar.tsx(296,25): error TS2339: Property 'accent' does not exist on type '{ primary: string; primaryDark: string; primaryLight: string; secondary: string; secondaryDark: string; secondaryLight: string; background: string; backgroundSecondary: string; backgroundTertiary: string; ... 15 more ...; borderLight: string; }'.
